title,year,endYear,movie_id
Legend of Hyang Dan,2007,2007,6428474
Legend of the Patriots,2010,2010,
Less Than Evil,2018,2019,9143820
Let Me Be Your Knight,2021,2021,15729630
Let Me Introduce Her,2018,2018,8594184
Let's Eat,2013,2014,3385484
Let's Eat 2,2015,2015,
Let's Eat 3,2018,2018,
Level Up,2019,2019,"10333500,7476714"
Leverage,2019,2019,"11018496,10097536,10471480"
Liar Game,2014,2014,4073180
Lie After Lie,2020,2020,"12336386,13206330,13266596,13345508,13367414,13385814,16443936"
Lie to Me,2011,2011,"2373743,2106520"
Life,2018,2018,4827558
Life Is Beautiful,2010,2010,2290116
Life on Mars,2018,2018,"8236544,13614356"
Lights and Shadows,2011,2012,6191848
Light on Me,2021,2021,14837532
Likeable or Not,2007,2008,13707526
Line Romance,2014,2014,10777780
"Link: Eat, Love, Kill",2022,2022,20869584
Listen to Love,2016,2016,22539648
Listen to My Heart,2011,2011,
Little Women,2022,2022,"21828868,18926984,7061408,16740010"
Live,2018,2018,
Live On,2020,2021,13273946
Live Up to Your Name,2017,2017,7094874
Liver or Die,2019,2019,
Living Among the Rich,2011,2012,
Living in Style,2011,2012,6286338
Lobbyist,2007,2007,"1367979,1622130"
Local Hero,2016,2016,5243942
Look Back in Anger,2000,2000,4416024
Loss Time Life,2019,2019,10449402
Lost,2021,2021,9100054
Love & Secret,2014,2015,
Love Again,2012,2012,
Love Alarm,2019,2021,9145880
Love Alert,2018,2018,
Love All Play,2022,2022,"19851552,15202816,21955840,22089090"
Love and Obsession,2009,2010,
Love Can't Wait,2006,2006,
Love for a Thousand More,2016,2016,12304304
Love in 3 Colors,1999,1999,
Love in Contract,2022,2022,22189294
Love in Her Bag,2013,2013,
Love in Sadness,2019,2019,9829586
Love in the Moonlight,2016,2016,15578708
Love Is for Suckers,2022,2022,22523300
Love Letter,2003,2003,
Love Me When You Can,2006,2007,
Love on a Rooftop,2015,2015,5672436
Love Playlist,2017,2019,
Love Rain,2012,2012,2286707
Love Returns,2017,2018,7713776
Love Revolution,2020,2020,14136390
Love Scene Number,2021,2021,13927228
Love Story in Harvard,2004,2005,0439392
Love to Hate You,2022,2022,
Love to the End,2018,2018,"8846404,10395010,17422536"
Love Truly,2006,2006,
Love Twist,2021,2022,"16432936,15522136"
Love with Flaws,2019,2020,11227980
Loveholic,2005,2005,
Lovely Horribly,2018,2018,8628658
Lovers,2006,2007,
Lovers in Bloom,2017,2017,7088070
Lovers in Paris,2004,2004,
Lovers in Prague,2005,2005,1789438
Lovers of Haeundae,2012,2012,
Lovers of Music,2014,2014,
Lovers of the Red Sky,2021,2021,13776460
Lovestruck in the City,2020,2021,"13394544,13557174"
Loving You a Thousand Times,2009,2010,5217020
Lucky Romance,2016,2016,5646500
Ma Boy,2012,2012,3385436
Mackerel Run,2007,2007,4193068
Mad Dog,2017,2017,7396412
Mad for Each Other (2021),2021,2021,
Madame Antoine: The Love Therapist,2016,2016,
Magic Cellphone,2016,2016,7162434
Magic Kid Masuri,2002,2004,
Make a Woman Cry,2015,2015,4999822
Make Your Wish,2014,2015,7508002
Mama,2014,2014,
Man from the Equator,2012,2012,
Man in a Veil,2020,2021,
Man in the Kitchen,2017,2018,"7776752,7434404"
Man to Man,2017,2017,6032762
Man Who Dies to Live,2017,2017,7075142
Manhole,2017,2017,7094904
Manny,2011,2011,
Marriage Contract,2016,2016,5525778
"Marriage, Not Dating",2014,2014,4215538
Marry Him If You Dare,2013,2013,3357418
Marry Me Now,2018,2018,8066184
"Marry Me, Mary!",2010,2010,
Marrying a Millionaire,2005,2006,8814226
Marrying My Daughter Twice,2016,2016,
Mask,2015,2015,"4148744,2433040"
Master of Study,2010,2010,"15360170,15360172"
